,GSM175786,GSM175787,GSM175788,GSM176082,GSM176083,GSM176084,GSM176085,GSM176086,GSM176087,GSM176088,GSM176089,GSM176090,GSM176091,GSM176092,GSM176234,GSM176236,GSM176238,GSM176240,GSM176039,GSM176040,GSM176041,GSM176043,GSM176093,GSM176094,GSM176095,GSM176096,GSM176097,GSM176098,GSM176099,GSM176100,GSM176101,GSM176127,GSM176132,GSM176137,GSM176141,GSM176142,GSM176143,GSM176144,GSM176145,GSM176146,GSM176319
TFAP2C,15.254105,2.1929753,6.870806,1.0581396,1.5048904,1.0091907,1.3481055,2.2050872,1.2142149,11.50479,1.4821702,2.1707609,1.6375233,1.6292912,2.1513007,0.92733175,2.542023,1.068716,24.421524,1.0088744,12.158017,11.85844,29.360611,30.969494,7.332067,13.143216,15.50458,25.774616,22.512863,14.436793,13.250547,22.185972,7.549198,3.776769,9.864477,20.383253,1.0539461,0.79208595,2.1621277,1.7230643,13.159693
HNF1B,35.88693,25.470592,16.639463,24.944086,26.348257,4.495226,11.476394,14.356088,6.932942,10.91707,28.455446,19.647474,18.333107,29.021278,5.3721414,6.630085,20.99504,22.454874,69.171,30.274609,47.093838,94.01356,61.405563,60.330616,66.820595,265.46927,53.05973,73.553116,72.21524,50.973618,43.00836,45.052795,22.117382,81.3686,171.61176,65.29541,5.7121525,17.659294,3.970366,13.643043,106.440216
HOXB6,17.533764,1.6340594,8.929864,33.912727,15.533058,0.43288288,1.9474281,7.4225197,23.73576,15.703553,33.38137,6.1444664,1.4090734,2.9424555,5.997269,7.902276,10.642946,9.76667,80.66864,13.892316,96.98498,81.46728,176.35464,172.49834,159.74995,157.69585,92.559616,143.32231,194.38406,131.57571,79.40914,42.245834,32.061348,147.44574,173.91,157.1911,21.40215,16.319527,15.561647,11.654118,191.17763
HOXB2,43.740635,4.678142,42.69003,68.02248,24.451477,15.9412565,15.912561,31.180187,100.23009,25.062107,51.78359,29.659946,22.861084,20.34654,9.901287,10.693008,45.475964,21.557446,119.432915,46.168995,78.33321,121.10785,215.6844,149.10333,198.57239,113.94517,126.83766,237.55827,148.95427,156.5774,103.20895,48.179794,40.07123,138.92574,172.55977,155.14351,158.19168,123.445625,138.62314,126.71958,357.43097
DACH1,17.496235,22.792696,10.805208,23.462914,24.410872,10.003512,15.038623,20.393555,21.246763,23.893354,11.849962,24.439468,9.153531,17.225544,34.78884,4.640862,6.6567874,13.613371,64.19037,20.71174,76.36921,38.73788,56.403072,83.38351,38.596962,35.696354,44.4278,91.54915,53.29742,35.513073,53.302742,28.733955,32.45471,45.55609,36.712364,31.970512,14.573927,30.914484,16.211777,27.32781,196.9383
GATA4,618.44794,640.0412,287.54004,109.790215,238.68494,102.910255,264.91074,106.5884,117.510315,176.32878,133.22879,143.97752,182.11449,206.63824,146.38641,37.73965,34.575954,64.18878,14.505746,2.0050244,1.9047127,3.8897817,2.4615479,1.3735117,4.3342824,3.3881106,2.4300227,2.3149672,7.3130803,0.42996535,1.4483298,3.478407,8.179168,11.786389,1.6840194,1.5889589,1.2698234,17.34453,10.55095,1.5654889,17.163012
HOXB5,58.76873,37.613167,32.69804,34.286552,12.350533,4.228414,20.274828,32.10526,34.356407,25.66517,24.155342,7.5987434,13.422154,26.796396,19.775717,31.45891,28.127058,27.201477,74.99976,30.723469,63.202404,67.27232,115.58484,77.08932,116.09109,52.799915,79.38868,115.66867,118.62746,105.443634,72.225716,45.467594,44.646976,93.241295,100.144775,70.23511,34.855392,36.238007,53.628952,27.255125,180.15112
MSX1,20.9328,23.602959,10.798177,123.4037,41.27998,23.997486,24.355518,25.414883,22.379467,32.91638,31.011845,31.864594,24.029457,76.46687,14.878053,19.39759,30.558867,15.2507305,460.99826,69.58329,484.8256,169.76692,1434.2211,1564.3159,1806.3286,334.10022,1289.1715,976.0878,1667.029,1274.3135,973.35706,157.68275,115.58027,970.76117,458.04886,1512.9913,167.46468,153.54785,131.214,98.48046,1458.9065
OVOL2,19.238987,4.7764173,3.9017832,7.175584,1.5095183,5.2562246,1.8998606,4.755286,10.281346,2.3618963,4.9367332,8.360737,7.318177,5.459106,14.904129,5.751991,9.276949,6.7196603,27.06686,12.331454,23.41895,30.79681,24.654324,47.118774,30.22787,21.01977,23.408976,24.879738,30.991747,24.734198,26.608273,17.678484,11.949803,41.78289,36.81035,32.29148,9.565177,5.6953325,4.780293,4.353743,66.3909
HMGA1,21.343147,39.946556,14.738221,46.736095,18.710287,18.91894,15.502381,40.67028,29.041773,14.0430355,30.83497,25.234446,17.81743,29.400227,4.706667,25.943613,3.4131851,10.719349,109.76803,3.9775002,45.882725,85.01165,137.65967,121.97505,98.20653,66.444336,71.446144,196.32178,108.26335,124.66544,79.08751,15.355123,24.41587,53.214165,29.047958,51.78028,13.311344,17.877394,11.789091,14.826772,142.46158
HOXC4,116.43904,94.73266,119.73897,85.230415,80.28509,77.81734,81.064674,73.88114,96.458664,110.91616,99.18922,68.0158,69.13668,81.12467,123.968575,42.36598,56.39408,48.53647,39.467255,43.015167,25.54454,43.0513,31.326551,32.66348,28.410368,29.745996,44.6875,32.968563,34.33659,25.435385,19.603884,32.70586,25.571074,36.250412,29.077906,9.025003,46.616104,54.73678,41.43704,96.30081,105.5559
PAX2,25.766565,2.3274887,12.292174,15.142826,15.172489,13.819566,9.811663,27.503563,12.994159,0.66494375,24.398336,9.047668,8.620952,1.5295781,10.679003,8.888099,27.06072,9.482476,81.859825,12.153016,43.167343,40.270298,77.197784,71.01691,53.91108,113.38393,81.41938,109.7641,54.412476,48.793526,46.380283,76.02532,43.983044,86.00922,75.27075,105.851006,10.113674,11.395272,10.236665,15.080198,253.83672
NR1H4,83.203575,80.428894,34.738365,54.730473,83.62637,48.71558,89.81607,50.917362,38.58036,42.951714,50.87077,33.71885,47.304195,50.902504,46.88763,14.103407,18.955746,22.024748,4.5616426,1.6145389,2.209329,6.5567565,9.543948,1.0930454,0.439565,0.77876216,14.274041,0.9773174,2.1714354,4.1974235,8.740682,8.584473,11.999465,12.91474,5.575435,0.45700854,3.399408,2.1235507,0.9117269,1.8538413,12.361551
RORB,2.0195146,3.6294758,0.9619433,1.5846205,0.85888845,1.2815799,2.8620543,1.9359682,13.602017,1.3233931,1.5492463,0.85687983,3.1254578,0.8815656,1.9473541,0.96424156,29.280619,2.4773388,58.728252,5.0708995,13.502357,47.16166,42.16044,42.842087,37.77974,83.841866,48.720695,89.24629,34.920544,15.306833,49.145046,15.090025,3.7094913,26.310673,26.718126,64.44688,1.9089658,2.215873,2.3437085,1.7402545,76.476135
NR0B1,24.161612,75.303734,55.347385,18.117989,19.135977,52.474743,35.230583,31.858566,15.780229,70.537056,10.516834,32.46418,52.039394,28.702751,23.422712,19.496279,21.127155,31.308252,5.044424,3.6194303,0.9822433,6.4849854,4.6861343,5.5805154,6.968462,1.2287637,6.0522466,12.02939,5.5357285,3.3351285,2.310972,11.136407,1.9739318,12.692431,10.22805,0.44733268,13.835608,5.616715,17.14535,1.7224197,1.4112847
HOXC6,566.86237,726.009,704.4728,342.24448,288.03125,433.99725,688.96564,477.84808,862.68805,813.75275,456.17978,519.428,452.97873,404.31805,487.45517,91.86017,155.57448,311.7267,46.874805,130.28569,34.197132,125.80353,40.011364,16.455301,41.26813,8.681484,58.668972,98.0052,54.345737,38.53779,48.80951,11.588567,57.274723,61.13208,57.599693,8.946857,97.34922,143.91412,180.02487,422.857,295.31693
HOXA11,0.9348196,1.0069256,8.024,16.35636,15.923081,0.9273984,1.5140657,0.9837444,27.602135,0.85297185,6.445142,3.7006402,1.3357605,2.7233744,1.3863845,11.503734,23.29518,7.3644037,83.89085,17.205334,91.8085,71.82978,280.33484,102.85822,138.30643,56.810482,166.76143,141.81178,163.89322,91.152794,193.98236,68.67368,51.594437,73.88252,168.16348,224.28629,31.47118,107.72084,113.62228,112.19737,151.54541
PPARG,57.730164,66.864235,33.3901,46.23458,31.682884,26.691414,58.919052,36.08047,18.375692,44.490616,36.00932,36.73122,58.8403,140.76932,33.62405,10.068862,11.176585,12.920522,1.2643977,4.9297123,11.541697,0.95052123,14.504239,15.957076,11.0729,3.137568,13.414514,0.848898,15.731953,8.438066,10.011581,1.2389126,3.4935143,5.2012677,30.925442,21.956884,7.1660056,10.684264,23.657022,19.72367,13.425527
TCF12,310.13766,197.67393,298.7199,293.32056,384.1724,218.90213,324.36203,238.68135,335.848,265.94092,230.64961,212.91064,257.13742,251.9058,364.78503,116.14599,260.67038,181.72328,528.4242,308.7864,374.81314,904.37445,1049.9681,762.6251,493.33313,521.2395,851.37354,919.1357,664.55334,357.54135,554.5365,309.79764,307.6697,561.8374,728.942,511.8781,253.7788,354.66837,277.21866,347.9727,1108.7328
PEG3,833.9792,797.21606,526.2144,716.03357,1690.947,820.28625,2061.5315,769.97845,529.52747,1461.6428,1541.1521,1039.4457,1094.6592,1631.2893,846.507,87.11754,218.38028,186.05434,63.72287,23.021461,59.19199,64.67166,118.87694,121.5971,113.9325,103.70084,161.37323,183.86969,93.29797,65.331505,121.54602,58.952114,140.91214,72.9397,154.13277,144.94136,56.04573,235.43898,83.479935,74.54925,390.47144
GATA2,57.5063,81.52041,40.121834,83.57568,38.673115,42.926723,28.909746,66.97615,71.19599,44.46062,30.469662,56.127594,45.13604,36.622593,9.362531,35.59068,50.749657,42.60648,145.12256,60.53487,154.62222,87.1205,308.55225,260.17,168.37502,117.99584,219.44182,302.6095,196.34949,183.46921,282.26697,113.98091,184.44318,216.78432,130.47296,208.46626,88.61695,83.16786,119.15199,123.50626,742.2739
NFIX,16.58497,20.37505,7.8727283,19.670639,38.773247,19.434895,45.17159,38.706337,45.604576,32.09498,41.810467,9.510772,30.94951,16.121473,1.8894871,9.990428,7.714262,7.695951,3.2529707,1.8510362,1.1022983,2.1484044,8.912937,10.907608,2.715549,2.507315,1.2652842,9.947056,1.1489877,0.5194974,11.081424,10.586206,18.163185,7.3338017,20.083096,1.7481273,2.0388758,23.34088,10.777374,26.642538,3.9497328
ASCL1,1.3860412,2.3172178,6.167469,0.78841054,0.89559186,2.8281164,2.2844918,5.9449534,5.375758,1.8884909,11.879031,3.830317,2.0825312,5.219818,0.7913265,1.1939566,0.4997586,1.4250458,27.209124,2.7718751,15.707842,11.655152,12.447337,29.601131,8.867061,2.1527376,24.354969,32.107273,20.545109,15.800402,22.509817,1.5037487,14.232335,9.933316,3.9627223,7.490672,6.6427994,1.7118205,1.9435413,5.9309015,127.284454
GATA6,301.06622,447.63983,419.75864,289.62372,674.0437,480.5924,488.9684,371.74442,469.44022,532.7025,342.82385,297.27182,494.36798,539.8751,298.9545,88.157104,95.72337,88.40959,3.656557,247.64827,5.181921,16.013113,3.899384,11.657135,4.90052,29.928139,13.734724,13.342324,7.2145667,6.7257514,0.23933555,10.985519,94.191086,1.9697692,95.312004,28.840498,190.47675,284.7118,274.13086,243.31088,24.27022
MSX2,9.017516,5.1770577,6.9792056,49.240837,21.683844,5.2639637,3.4417236,7.6769357,3.6963892,10.939784,1.2160718,1.0842172,11.934555,10.699061,9.542648,13.081932,9.6036625,7.269132,140.40704,14.202054,195.20876,67.47904,339.66107,436.1458,277.04984,37.939243,225.36977,378.8626,355.5943,324.59268,218.5106,23.760496,20.131008,302.0872,19.428541,147.29626,18.186962,15.93894,17.953907,3.5849955,670.6652
NR4A1,109.16045,122.87672,15.731421,60.537937,80.28121,115.397156,97.30324,37.62064,33.51927,70.65816,64.3901,114.87886,91.09921,62.06283,14.789277,39.072544,70.90718,34.14222,55.873257,15.739522,5.0088744,3.130406,32.22387,69.34594,24.585121,58.186314,60.36067,22.728985,39.89278,4.847787,29.744944,4.3638673,20.174713,5.0702677,48.748768,28.350473,24.36939,37.654335,15.516201,22.870968,7.272938
HOXA10,5.0295963,8.531471,15.626221,60.88619,28.20895,13.906296,1.7450109,21.915392,75.77439,6.566255,32.53349,13.730916,12.0445385,15.19609,18.70872,16.065754,66.47726,39.69607,407.45364,326.14905,650.1822,541.8896,871.0948,487.44577,564.8783,219.18004,847.2593,598.0701,631.7491,394.59143,507.2548,251.10829,364.82578,472.96805,555.07666,804.94714,428.43716,565.5546,661.7811,715.0557,913.1472
OSR2,336.13757,559.47235,160.7432,337.13092,149.86426,209.58592,216.51987,219.9023,131.90419,293.6,202.29419,278.2348,173.88013,160.37492,275.7858,37.246376,318.65457,123.036644,669.88367,359.35934,678.9367,1199.1,688.3521,497.08102,390.6811,456.48856,970.1955,1071.1226,405.85504,322.31528,476.20526,845.9348,801.0309,450.23996,931.39966,1120.6368,381.40024,785.305,372.34683,642.5413,1136.5262
DLX5,14.163831,15.918241,27.792343,36.25844,14.139746,1.147991,9.739943,9.111757,17.30333,1.0894861,15.657126,12.852916,16.933771,12.00022,3.048363,0.4310081,10.226677,13.372956,180.99997,14.717764,178.39847,107.03514,283.91922,422.718,340.7239,63.029545,344.65588,294.8636,294.099,169.0718,221.93506,49.00412,31.571123,203.3078,142.94453,432.3208,0.77000517,2.6574926,8.671198,6.727148,682.4575
HOXA5,25.585377,18.681143,12.494185,26.872267,2.298916,10.836041,15.248794,27.121748,81.347664,10.541531,22.094103,16.98012,12.961576,0.6894863,37.717182,52.3821,47.438408,54.195526,105.54603,46.746525,113.294815,89.164085,204.89777,34.1657,97.790504,77.21664,103.23677,151.5221,91.98966,64.95749,86.52952,114.754616,218.8163,224.83301,166.12552,93.19761,109.0019,60.947582,70.82232,138.27905,298.16913
PAX8,27.552387,29.894337,19.819738,4.4152384,2.7916026,1.3300697,5.72468,1.8264128,34.801514,1.5807893,5.034604,4.6492076,8.994611,15.179165,16.579784,8.590407,20.641638,18.336702,189.1655,7.355236,118.98579,63.990005,87.40046,170.48586,99.64433,455.36722,122.41207,188.09558,117.90792,94.73974,78.60786,116.66376,58.785275,106.71954,345.667,131.96747,7.307223,7.290662,18.907457,14.366065,304.33667
HOXD11,13.763475,2.3816605,24.112915,20.471313,17.496386,7.383023,8.315845,16.418194,31.575897,13.518398,25.303223,7.8976593,10.212665,6.0326433,16.416136,10.321925,28.88333,8.611564,93.27017,29.592731,42.616463,88.550125,67.76647,60.035572,22.251842,44.068718,42.02163,95.92999,54.657608,46.661682,73.96866,20.002687,51.475452,72.13374,103.16429,49.908054,47.11251,83.74453,46.179325,33.725487,172.73204
NR4A3,15.921323,18.678646,15.790246,43.303192,665.36163,375.68826,103.64422,40.651283,43.18631,243.50449,320.63644,261.06223,445.2796,45.771675,21.866999,42.041634,48.31776,26.535131,94.09434,10.281272,20.466986,17.243326,24.414816,68.770775,16.879688,22.506626,36.717754,25.06601,25.973354,1.8959785,24.568789,12.752558,13.803729,8.936327,25.277422,41.787586,36.490868,18.331524,12.414274,16.705706,15.15935
ZNF395,363.9033,351.16415,293.25195,198.51999,216.48027,295.21048,262.60083,246.41292,248.76994,250.87471,246.66545,236.80203,218.14787,120.39463,515.9703,133.57741,91.389114,75.64052,89.07739,141.34346,116.189896,97.636024,80.67243,89.35834,57.450493,120.95625,100.475266,107.53671,90.34969,72.27815,68.2594,99.81422,72.97201,38.244743,109.14847,107.88044,160.87401,109.78152,98.28,120.48465,167.77237
KLF2,1179.1024,1969.6119,530.00287,508.72528,832.09436,475.99213,889.7312,464.34525,416.7146,568.6224,669.3702,667.2595,1036.4777,221.86317,55.505398,284.58453,243.98181,215.14073,65.938545,269.48642,37.239826,41.96675,99.593735,84.90764,79.71218,116.22022,76.60582,69.102264,92.10382,46.48988,66.74379,132.79115,167.99147,49.536903,292.7912,83.93282,257.75406,164.80954,271.42288,277.03604,218.37758
GRHL2,9.698863,27.886156,7.205235,19.976013,6.375126,3.9956517,5.492949,5.056818,9.105114,10.609822,8.830969,3.708857,4.911357,12.10498,18.426445,11.004906,12.955165,2.002294,62.415474,14.377519,34.60299,30.752815,106.12849,87.51752,91.28592,69.04781,59.816723,107.1652,93.14986,47.90615,70.95411,24.462864,18.77347,108.7083,44.94892,144.8444,4.0510025,4.939385,5.8987665,8.075395,196.14066
TBX3,84.382256,74.395584,65.578384,47.495037,275.93234,59.881786,37.80974,46.778275,137.27577,46.125717,66.770454,42.914833,60.158623,75.40051,70.55704,11.880356,39.50706,25.61522,188.19385,51.730072,355.39175,189.40985,273.37585,273.54108,162.99173,145.03136,264.4638,469.60397,209.83922,128.97914,212.10576,133.39253,100.03454,160.03842,120.82224,146.88266,76.9671,108.71297,96.02401,113.41353,316.69705
ZFPM2,371.22934,377.77063,435.7237,287.06805,349.92764,276.2836,412.73282,306.47287,285.73462,329.96628,311.47623,243.60574,340.0287,189.19833,429.72357,73.5438,104.86754,125.074684,19.501972,231.01822,42.052307,28.70738,38.564854,34.695755,25.39107,46.453697,31.448792,37.362057,25.321083,24.967033,23.367163,22.75359,78.39916,26.278986,110.226974,58.36132,219.16832,514.1944,308.23953,406.72366,35.17927
EHF,1.1587623,1.0020242,0.72574234,0.7414389,4.711376,0.22221556,1.0756226,3.9496424,7.535608,1.9955132,20.477226,0.29513493,0.3279903,3.18186,4.3209395,2.5765584,7.7846923,0.67888665,46.503773,5.5467973,18.338295,33.179947,63.064796,63.454357,105.03795,63.06366,49.90739,55.39488,78.162346,38.00909,34.602615,12.182938,4.5480704,34.930965,25.034138,37.300644,5.6858788,1.8569701,6.9469213,7.4298587,107.92505
E2F8,1.1392741,2.9629498,4.266321,16.351446,0.2788462,0.8582127,4.265028,0.385263,8.5903225,1.0034779,0.44038612,0.5378156,5.113233,13.262522,5.1246037,2.0165794,4.892972,4.495415,22.8472,4.040364,17.787577,25.441257,85.98325,44.92641,31.542236,1.539681,37.7239,35.52708,55.134556,32.33922,38.282528,0.8227127,8.988603,32.595493,7.668395,15.280497,0.51132494,0.6655105,0.21231139,5.0266995,35.871452
SPDEF,22.75688,6.651373,5.6679688,39.541992,6.068365,14.283211,6.380363,5.7209654,7.329131,5.790293,20.812965,3.2516704,4.482358,20.61631,10.312354,12.964846,12.144185,6.1410184,55.51786,16.381264,44.50456,35.34674,217.36266,146.1525,400.1512,6.535991,228.95007,48.632156,278.23825,182.39528,116.51753,37.154583,24.118195,244.97354,18.651115,306.2845,14.514224,2.1833696,14.294501,12.895278,336.9351
KLF4,74.80184,103.6538,40.13664,132.15123,180.9717,98.59082,86.49651,72.76829,66.042076,81.70167,98.46807,140.28136,290.3914,78.925446,16.080708,57.521503,58.249187,40.352486,14.566596,23.431257,4.3274746,22.885592,20.440035,48.069557,32.901817,56.63605,93.863785,17.336271,28.882034,7.763197,25.54103,2.5530822,2.1813114,30.575314,124.2999,50.599495,164.52412,85.75097,62.614967,101.54461,48.12683
LEF1,91.47261,82.17803,200.20677,155.15933,113.13976,87.63493,56.44438,82.31613,319.62128,42.50508,86.709785,47.597527,97.50467,49.60579,73.25892,28.680708,58.283978,54.097767,287.50275,61.064896,352.53836,128.93842,556.4836,457.4765,316.62143,130.75294,434.88608,498.90714,436.5799,346.85837,294.64044,28.587637,50.792217,407.92682,110.21779,275.26517,73.639915,75.98046,67.67683,80.83395,554.0683
EMX2,102.58869,73.51857,95.71393,82.995255,83.758064,46.202457,50.622246,45.817055,108.15441,47.104565,88.542755,59.03719,53.027576,100.12689,44.818886,18.316591,101.72266,43.41451,223.6745,330.34918,272.7211,207.492,364.0297,310.73694,263.08032,187.35693,226.36098,292.20453,277.7138,193.89056,226.10187,288.5621,577.3733,297.43356,398.5558,324.27225,216.27388,495.17975,460.54633,612.3504,601.072
